A0;1;0.01;0.01;0.01;5.84;-1.53;-4.76;0.0;0.0;0.0;
A1;2;0.01;0.01;0.01;6.26;0.75;-2.23;15.0;0.0;0.0;
A2;3;0.01;0.01;0.01;6.95;4.68;-0.18;30.0;0.0;0.0;
A3;4;0.01;0.01;0.01;8.67;10.89;2.73;45.0;0.0;0.0;
A4;5;0.02;0.01;0.01;10.62;16.7;7.14;60.0;0.0;0.0;
A5;6;0.03;0.02;0.01;13.57;22.22;12.06;75.0;0.0;0.0;
A6;7;0.04;0.02;0.01;16.61;28.2;17.52;90.0;0.0;0.0;
A7;8;0.05;0.03;0.01;19.22;33.26;21.9;105.0;0.0;0.0;
A8;9;0.06;0.03;0.01;20.95;36.52;25.46;120.0;0.0;0.0;
A9;10;0.07;0.04;0.01;23.17;39.43;29.01;135.0;0.0;0.0;
A10;11;0.08;0.05;0.01;25.62;42.31;32.7;150.0;0.0;0.0;
A11;12;0.09;0.05;0.01;27.13;44.46;35.71;165.0;0.0;0.0;
A12;13;0.11;0.06;0.01;28.77;47.12;37.97;180.0;0.0;0.0;
A13;14;0.12;0.06;0.01;30.07;49.42;39.75;195.0;0.0;0.0;
A14;15;0.13;0.07;0.01;32.06;52.18;42.15;210.0;0.0;0.0;
A15;16;0.15;0.08;0.01;33.96;55.05;45.35;225.0;0.0;0.0;
A16;17;0.16;0.09;0.01;35.28;56.38;45.78;240.0;0.0;0.0;
A17;18;0.18;0.09;0.01;36.35;57.78;47.29;255.0;0.0;0.0;
A18;19;0.01;0.01;0.01;8.29;-6.3;-0.43;0.0;15.0;0.0;
A19;20;0.01;0.01;0.01;9.13;-3.62;1.91;15.0;15.0;0.0;
A20;21;0.01;0.01;0.01;9.0;0.98;3.02;30.0;15.0;0.0;
A21;22;0.01;0.01;0.01;10.73;7.13;6.29;45.0;15.0;0.0;
A22;23;0.02;0.02;0.01;12.83;13.23;10.31;60.0;15.0;0.0;
A23;24;0.03;0.02;0.01;15.24;20.0;14.75;75.0;15.0;0.0;
A24;25;0.04;0.02;0.01;17.82;26.13;19.49;90.0;15.0;0.0;
A25;26;0.05;0.03;0.01;20.02;30.99;23.4;105.0;15.0;0.0;
A26;27;0.06;0.04;0.01;21.95;34.7;26.84;120.0;15.0;0.0;
A27;28;0.07;0.04;0.01;23.95;37.73;29.94;135.0;15.0;0.0;
A28;29;0.08;0.05;0.01;25.93;40.86;33.37;150.0;15.0;0.0;
A29;30;0.1;0.05;0.01;27.49;43.86;36.57;165.0;15.0;0.0;
A30;31;0.11;0.06;0.01;29.02;46.94;39.08;180.0;15.0;0.0;
A31;32;0.12;0.06;0.01;30.46;49.8;41.05;195.0;15.0;0.0;
A32;33;0.14;0.07;0.01;32.34;52.65;43.32;210.0;15.0;0.0;
A33;34;0.15;0.08;0.01;34.18;55.13;45.68;225.0;15.0;0.0;
A34;35;0.17;0.09;0.01;35.65;56.57;46.9;240.0;15.0;0.0;
A35;36;0.18;0.1;0.01;37.04;57.14;48.22;255.0;15.0;0.0;
A36;37;0.01;0.01;0.01;11.88;-11.66;5.81;0.0;30.0;0.0;
A37;38;0.01;0.02;0.01;13.24;-9.52;8.44;15.0;30.0;0.0;
A38;39;0.01;0.02;0.01;13.88;-4.62;9.71;30.0;30.0;0.0;
A39;40;0.02;0.02;0.01;15.51;0.96;12.58;45.0;30.0;0.0;
A40;41;0.03;0.02;0.01;17.55;6.99;15.98;60.0;30.0;0.0;
A41;42;0.04;0.03;0.01;19.51;13.4;19.93;75.0;30.0;0.0;
A42;43;0.05;0.03;0.01;21.47;19.67;23.42;90.0;30.0;0.0;
A43;44;0.06;0.04;0.01;23.21;24.57;26.64;105.0;30.0;0.0;
A44;45;0.07;0.04;0.01;24.84;28.91;29.35;120.0;30.0;0.0;
A45;46;0.08;0.05;0.01;26.38;32.49;31.89;135.0;30.0;0.0;
A46;47;0.09;0.05;0.01;27.99;36.26;34.95;150.0;30.0;0.0;
A47;48;0.1;0.06;0.01;29.25;40.21;38.39;165.0;30.0;0.0;
A48;49;0.11;0.07;0.01;30.69;44.0;40.92;180.0;30.0;0.0;
A49;50;0.13;0.07;0.01;32.02;47.52;42.93;195.0;30.0;0.0;
A50;51;0.14;0.08;0.01;33.81;50.75;45.11;210.0;30.0;0.0;
A51;52;0.16;0.09;0.01;35.58;53.56;47.06;225.0;30.0;0.0;
A52;53;0.18;0.09;0.01;36.91;55.18;48.37;240.0;30.0;0.0;
A53;54;0.19;0.1;0.01;38.03;56.34;49.46;255.0;30.0;0.0;
A54;55;0.01;0.02;0.01;16.19;-16.12;11.39;0.0;45.0;0.0;
A55;56;0.02;0.02;0.01;17.4;-13.75;13.78;15.0;45.0;0.0;
A56;57;0.02;0.03;0.01;18.59;-9.76;15.84;30.0;45.0;0.0;
A57;58;0.03;0.03;0.01;20.01;-4.45;17.92;45.0;45.0;0.0;
A58;59;0.03;0.04;0.01;22.03;0.35;21.27;60.0;45.0;0.0;
A59;60;0.04;0.04;0.01;23.79;6.24;24.19;75.0;45.0;0.0;
A60;61;0.05;0.04;0.01;25.18;12.21;26.74;90.0;45.0;0.0;
A61;62;0.06;0.05;0.01;26.55;17.45;29.25;105.0;45.0;0.0;
A62;63;0.07;0.05;0.01;27.82;22.09;31.64;120.0;45.0;0.0;
A63;64;0.08;0.06;0.01;29.2;26.15;34.19;135.0;45.0;0.0;
A64;65;0.09;0.06;0.01;30.5;30.44;36.95;150.0;45.0;0.0;
A65;66;0.11;0.07;0.01;31.77;34.96;39.77;165.0;45.0;0.0;
A66;67;0.12;0.08;0.01;33.04;39.44;42.19;180.0;45.0;0.0;
A67;68;0.14;0.08;0.01;34.33;43.88;44.31;195.0;45.0;0.0;
A68;69;0.16;0.09;0.01;36.04;47.65;46.77;210.0;45.0;0.0;
A69;70;0.17;0.1;0.01;37.81;50.86;49.28;225.0;45.0;0.0;
A70;71;0.19;0.11;0.01;38.91;52.86;50.31;240.0;45.0;0.0;
A71;72;0.2;0.11;0.01;39.82;54.41;50.85;255.0;45.0;0.0;
A72;73;0.02;0.03;0.01;20.69;-20.25;17.68;0.0;60.0;0.0;
A73;74;0.02;0.03;0.01;21.62;-17.9;19.01;15.0;60.0;0.0;
A74;75;0.03;0.04;0.01;22.76;-14.52;20.72;30.0;60.0;0.0;
A75;76;0.03;0.04;0.01;24.33;-10.23;22.98;45.0;60.0;0.0;
A76;77;0.04;0.05;0.01;25.97;-5.21;25.58;60.0;60.0;0.0;
A77;78;0.05;0.05;0.01;27.53;0.26;27.96;75.0;60.0;0.0;
A78;79;0.06;0.06;0.01;28.76;5.95;29.98;90.0;60.0;0.0;
A79;80;0.07;0.06;0.01;29.82;11.19;32.05;105.0;60.0;0.0;
A80;81;0.08;0.07;0.01;30.9;16.03;34.18;120.0;60.0;0.0;
A81;82;0.09;0.07;0.01;32.11;20.29;36.61;135.0;60.0;0.0;
A82;83;0.1;0.08;0.01;33.28;24.94;38.92;150.0;60.0;0.0;
A83;84;0.12;0.08;0.01;34.47;29.69;41.43;165.0;60.0;0.0;
A84;85;0.13;0.09;0.01;35.75;34.63;43.74;180.0;60.0;0.0;
A85;86;0.15;0.1;0.01;36.96;39.61;45.92;195.0;60.0;0.0;
A86;87;0.17;0.1;0.01;38.64;43.81;48.73;210.0;60.0;0.0;
A87;88;0.19;0.11;0.01;40.36;47.46;51.65;225.0;60.0;0.0;
A88;89;0.2;0.12;0.01;41.39;49.69;52.62;240.0;60.0;0.0;
A89;90;0.21;0.13;0.01;42.2;51.39;53.08;255.0;60.0;0.0;
A90;91;0.03;0.04;0.01;25.12;-23.77;22.3;0.0;75.0;0.0;
A91;92;0.03;0.05;0.01;25.89;-21.87;23.45;15.0;75.0;0.0;
A92;93;0.03;0.05;0.01;26.84;-19.13;25.0;30.0;75.0;0.0;
A93;94;0.04;0.06;0.01;28.14;-15.45;26.92;45.0;75.0;0.0;
A94;95;0.05;0.06;0.01;29.58;-10.91;29.16;60.0;75.0;0.0;
A95;96;0.06;0.07;0.01;30.99;-5.49;31.55;75.0;75.0;0.0;
A96;97;0.07;0.07;0.01;32.09;-0.17;33.32;90.0;75.0;0.0;
A97;98;0.08;0.08;0.01;33.24;5.21;34.99;105.0;75.0;0.0;
A98;99;0.09;0.08;0.01;34.16;10.17;36.87;120.0;75.0;0.0;
A99;100;0.1;0.09;0.01;35.18;14.91;38.99;135.0;75.0;0.0;
A100;101;0.11;0.09;0.01;36.29;19.61;41.19;150.0;75.0;0.0;
A101;102;0.13;0.1;0.01;37.59;24.24;43.42;165.0;75.0;0.0;
A102;103;0.14;0.11;0.01;38.81;29.17;45.81;180.0;75.0;0.0;
A103;104;0.16;0.11;0.01;40.06;34.05;48.27;195.0;75.0;0.0;
A104;105;0.18;0.12;0.01;41.6;38.55;51.04;210.0;75.0;0.0;
A105;106;0.2;0.13;0.01;43.19;42.57;53.7;225.0;75.0;0.0;
A106;107;0.22;0.14;0.01;44.34;45.14;54.97;240.0;75.0;0.0;
A107;108;0.23;0.15;0.01;45.41;47.2;55.85;255.0;75.0;0.0;
A108;109;0.04;0.06;0.01;29.55;-26.56;26.11;0.0;90.0;0.0;
A109;110;0.04;0.06;0.01;30.01;-25.45;27.41;15.0;90.0;0.0;
A110;111;0.04;0.07;0.01;30.69;-23.55;28.79;30.0;90.0;0.0;
A111;112;0.05;0.07;0.01;31.9;-20.33;30.48;45.0;90.0;0.0;
